Conc,Trt,Ind,Ratio,Indv
0,CX-5461,1,1.595663265,87-1
0,CX-5461,2,0.993780295,75-1
0,CX-5461,3,0.689173168,78-1
0.1,CX-5461,1,1.60004526,87-1
0.1,CX-5461,2,1.03627772,75-1
0.1,CX-5461,3,0.979731582,78-1
0.5,CX-5461,1,1.432233377,87-1
0.5,CX-5461,2,1.330967127,75-1
0.5,CX-5461,3,0.911392844,78-1
1,CX-5461,1,1.547872778,87-1
1,CX-5461,2,1.06437793,75-1
1,CX-5461,3,0.780238747,78-1
5,CX-5461,1,1.059537525,87-1
5,CX-5461,2,0.685434958,75-1
5,CX-5461,3,0.690864155,78-1
10,CX-5461,1,0.506542133,87-1
10,CX-5461,2,0.581878597,75-1
10,CX-5461,3,0.3243171,78-1
50,CX-5461,1,-0.18877551,87-1
50,CX-5461,2,0.086237178,75-1
50,CX-5461,3,-0.048506644,78-1
